ABV,X,Y
LBF,"4,075","4,628"
AIA,"2,139","1,474"
MCK,"1,619",333
OFF,"1,018",988
FMZ,4,0
PMV,2,0
IML,1,0
MHT,"995,403","1,026,349"
PSM,"73,247","45,933"
LEB,"10,245","10,144"
LCI,45,36
CON,34,58
EEN,13,11
7B3,6,0
BML,5,0
ASH,4,8
EWR,"19,923,009","18,684,818"
ACY,"589,091","587,967"
TTN,"278,436","389,598"
TEB,"7,772","7,951"
MMU,"7,239","8,923"
WRI,848,"2,359"
BLM,76,49
WWD,31,26
39N,10,17
19N,8,4
17N,3,1
CDW,2,12
MJX,2,12
N51,2,0
ABQ,"2,341,719","2,323,883"
SAF,"71,252","75,460"
ROW,"44,378","35,411"
HOB,"14,707","16,567"
SVC,"5,442","3,945"
CVN,"4,854","4,799"
CNM,"3,057","1,827"
FMN,"1,359","3,083"
CVS,976,298
LAM,573,324
HMN,67,54
LRU,41,248
DMN,8,0
SRR,3,5
AEG,2,0
LAS,"22,833,267","21,857,693"
RNO,"1,771,864","1,669,876"
BVU,"211,615","234,101"
HND,"63,445","53,551"
VGT,"15,828","15,434"
EKO,"14,893","13,701"
LSV,"1,540","1,842"
INS,84,98
88NV,2,16
JFK,"29,239,151","27,782,369"
LGA,"14,762,593","14,319,924"
BUF,"2,313,724","2,336,431"
ALB,"1,388,860","1,276,793"
ROC,"1,186,002","1,177,994"
SYR,"988,496","987,732"
HPN,"766,170","757,466"
ISP,"597,133","603,653"
SWF,"140,328","142,603"
ELM,"139,583","155,936"
PBG,"129,622","131,600"
IAG,"126,028","121,616"
ITH,"88,692","87,321"
BGM,"68,415","77,654"
ART,"17,312","18,650"
FRG,"10,910","13,471"
OGS,"10,281","5,120"
MSS,"5,311","4,462"
SLK,"4,732","5,047"
GTB,"3,398","13,508"
JHW,"1,301","1,828"
FOK,240,151
HTO,211,149
PEO,179,151
0B8,149,113
PTD,142,3
RME,97,23
5B2,70,37
GFL,62,22
MTP,32,29
N66,28,6
6B9,25,6
POU,19,2
MAL,14,0
VGC,12,14
LKP,11,16
20N,5,0
44N,5,1
N03,5,0
4B6,4,0
IUA,4,0
MGJ,4,2
HTF,3,13
MSV,3,19
SCH,3,9
1B1,2,11
DKK,2,0
GVQ,1,6
OIC,1,2
CLE,"4,083,476","3,916,922"
CMH,"3,567,864","3,312,496"
DAY,"1,019,922","1,041,759"
CAK,"685,553","759,335"
LCK,"102,751","83,466"
TOL,"92,522","94,044"
YNG,"53,633","66,299"
LUK,"25,706","17,354"
BKL,"9,917","2,623"
FFO,168,65
MFD,138,124
CGF,110,230
OSU,58,8
TDZ,58,48
ILN,39,0
LPR,13,8
AKR,11,18
TZR,10,7
PMH,7,4
HAO,6,62
I69,4,0
MGY,4,6
MRT,4,0
GQQ,3,0
ZZV,3,11
1G5,2,0
SGH,2,4
S24,1,1
OKC,"1,796,473","1,803,188"
TUL,"1,342,315","1,359,582"
LAW,"51,088","51,859"
SWO,"10,362","1,876"
TIK,825,"1,160"
OJA,108,0
OUN,59,32
RQO,16,0
WWR,16,26
DUA,13,0
F10,8,0
PWA,8,259
MLC,7,362
WDG,7,0
H76,2,0
PDX,"9,071,154","8,340,252"
EUG,"483,224","447,813"
MFR,"401,469","370,187"
RDM,"306,517","280,823"
OTH,"14,719","16,207"
UAO,"4,207","3,175"
LMT,"2,827",93
PDT,"2,582","4,277"
SLE,44,8
S03,36,21
HIO,30,32
CVO,18,4
ONP,17,2
HRI,12,1
S21,12,3
7S3,10,0
ONO,9,0
AST,6,2
TTD,4,10
BDN,2,4
DLS,2,7
RBG,2,12
S05,2,8
S49,2,0
26U,1,0
BOK,1,10
PHL,"14,564,419","15,101,349"
PIT,"3,986,114","3,890,681"
MDT,"589,511","587,049"
ABE,"324,511","320,544"
AVP,"232,855","219,796"
LBE,"146,127","181,105"
UNV,"134,312","139,124"
ERI,"87,647","88,953"
IPT,"19,320","21,923"
LNS,"4,230","1,523"
JST,"4,193","4,338"
DUJ,"2,934","3,215"
BFD,"2,623","3,491"
FKL,"2,025","1,476"
AOO,"1,865","2,481"
RDG,"1,470","1,635"
AGC,412,338
PNE,240,510
LOM,149,159
HMZ,120,10
CXY,87,7
CKZ,35,15
N96,22,0
4PN7,16,7
MQS,11,3
BTP,8,5
4G1,5,0
FIG,4,12
PTW,4,2
SEG,4,8
AFJ,3,2
THV,3,16
ZER,3,0
FWQ,2,0
N94,2,9
PJC,2,0
RVL,2,0
BVI,1,1
W05,1,2
WBW,1,0
SJU,"4,343,354","4,233,638"
BQN,"257,871","202,197"
PSE,"105,804","98,830"
VQS,"63,104","71,356"
RVR,"43,005","43,506"
CPX,"31,141","32,907"
SIG,"24,054","26,203"
MAZ,"5,344","5,900"
PVD,"1,803,000","1,763,676"
BID,"17,225","12,415"
WST,"17,218","11,970"
OQU,345,19
UUU,120,114
SFZ,26,14
CHS,"1,811,695","1,669,988"
GSP,"991,276","955,097"
MYR,"944,849","899,859"
CAE,"553,658","533,575"
FLO,"45,300","52,611"
HXD,"30,956","38,322"
SSC,"1,153","1,485"
ARW,909,173
NBC,194,"1,301"
MMT,163,0
AND,80,111
CRE,73,0
JZI,42,57
GYH,30,234
AIK,13,"8,596"
CEU,9,1
CUB,8,1
GMU,8,44
SPA,4,9
RBW,2,24
UZA,2,24
FSD,"510,105","493,530"
RAP,"272,537","264,183"
ABR,"26,529","27,595"
PIR,"8,246","6,664"
ATY,"2,117",982
HON,607,837
RCA,473,742
SPF,4,5
BNA,"6,338,517","5,715,205"
MEM,"2,016,089","1,873,716"
TYS,"887,103","848,390"
CHA,"422,442","393,680"
TRI,"204,926","216,426"
MKL,"3,661","1,800"
MQY,"2,542",980
JWN,33,25
NQA,28,0
MRC,14,0
1M5,12,4
2A1,6,0
DKX,6,2
SYI,5,0
0A9,4,0
MMI,4,6
RKW,4,0
MOR,2,2
SNH,1,18
DFW,"31,283,579","31,589,839"
IAH,"20,062,072","20,595,881"
DAL,"7,554,596","7,040,950"
HOU,"6,285,181","5,937,990"
AUS,"6,095,545","5,797,562"
SAT,"4,179,994","4,091,434"
ELP,"1,414,376","1,381,392"
MAF,"471,490","518,509"
LBB,"448,093","443,239"
MFE,"355,224","391,687"
AMA,"334,815","341,132"
CRP,"325,815","338,312"
HRL,"263,760","259,864"
GRK,"157,161","176,895"
BRO,"120,151","143,353"
LRD,"101,115","110,368"
ABI,"84,809","86,000"
CLL,"78,907","89,844"
ACT,"64,356","62,882"
SJT,"60,277","63,842"
TYR,"52,494","72,294"
SPS,"40,165","44,262"
BIF,"26,730","24,997"
BPT,"26,518","33,747"
GGG,"22,480","20,968"
VCT,"3,137","3,584"
AFW,"1,881","2,000"
EFD,"1,591",470
FTW,"1,104",234
07TA,"1,000","1,000"
